2025-03-17 21:58:03,769 - INFO - Running conjugate priors for file: 100_200_0_tau_0.0
2025-03-17 21:58:03,771 - INFO - Number of biomarkers: 10
2025-03-17 21:58:10,187 - INFO - Iteration 100/1000, Acceptance Ratio 1: 12.00%, Log Likelihood 1: -2128.4277, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 13.00%, Log Likelihood 2: -2634.6979, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 4, 'MMSE': 7, 'P-Tau': 5, 'PCC-FCI': 8}, Subtype Accuracy: 0.88, 
2025-03-17 21:58:16,547 - INFO - Iteration 200/1000, Acceptance Ratio 1: 6.00%, Log Likelihood 1: -2425.3877, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 6.50%, Log Likelihood 2: -2331.3554, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 4, 'MMSE': 7, 'P-Tau': 5, 'PCC-FCI': 8}, Subtype Accuracy: 0.92, 
2025-03-17 21:58:23,031 - INFO - Iteration 300/1000, Acceptance Ratio 1: 4.00%, Log Likelihood 1: -2158.6530, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 4.33%, Log Likelihood 2: -2600.8326, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 4, 'MMSE': 7, 'P-Tau': 5, 'PCC-FCI': 8}, Subtype Accuracy: 0.92, 
2025-03-17 21:58:29,386 - INFO - Iteration 400/1000, Acceptance Ratio 1: 3.00%, Log Likelihood 1: -2304.0435, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 3.25%, Log Likelihood 2: -2457.0643, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 4, 'MMSE': 7, 'P-Tau': 5, 'PCC-FCI': 8}, Subtype Accuracy: 0.885, 
2025-03-17 21:58:35,727 - INFO - Iteration 500/1000, Acceptance Ratio 1: 2.40%, Log Likelihood 1: -2309.6592, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 2.60%, Log Likelihood 2: -2444.3536, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 4, 'MMSE': 7, 'P-Tau': 5, 'PCC-FCI': 8}, Subtype Accuracy: 0.92, 
2025-03-17 21:58:42,076 - INFO - Iteration 600/1000, Acceptance Ratio 1: 2.00%, Log Likelihood 1: -2227.2207, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 2.83%, Log Likelihood 2: -2542.6664, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 4, 'MMSE': 7, 'P-Tau': 5, 'PCC-FCI': 8}, Subtype Accuracy: 0.88, 
2025-03-17 21:58:48,419 - INFO - Iteration 700/1000, Acceptance Ratio 1: 1.71%, Log Likelihood 1: -2170.8706, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 2.71%, Log Likelihood 2: -2593.5514, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 4, 'MMSE': 7, 'P-Tau': 5, 'PCC-FCI': 8}, Subtype Accuracy: 0.86, 
2025-03-17 21:58:54,768 - INFO - Iteration 800/1000, Acceptance Ratio 1: 1.50%, Log Likelihood 1: -2263.2507, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 2.38%, Log Likelihood 2: -2495.6580, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 4, 'MMSE': 7, 'P-Tau': 5, 'PCC-FCI': 8}, Subtype Accuracy: 0.9, 
2025-03-17 21:59:01,266 - INFO - Iteration 900/1000, Acceptance Ratio 1: 1.33%, Log Likelihood 1: -2162.4134, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 2.44%, Log Likelihood 2: -2593.6042, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 5, 'MMSE': 7, 'P-Tau': 4, 'PCC-FCI': 8}, Subtype Accuracy: 0.91, 
2025-03-17 21:59:07,535 - INFO - Iteration 1000/1000, Acceptance Ratio 1: 1.20%, Log Likelihood 1: -2212.3557, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 2.30%, Log Likelihood 2: -2549.3853, Current Accepted Order2: {'AB': 9, 'ADAS': 2, 'AVLT-Sum': 10, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 1, 'HIP-GMI': 4, 'MMSE': 7, 'P-Tau': 5, 'PCC-FCI': 8}, Subtype Accuracy: 0.86, 
2025-03-17 21:59:08,563 - INFO - Results saved to conjugate_priors/results/100_200_0_tau_0.0_results.json
