2025-03-03 18:50:33,785 - INFO - Running conjugate priors for file: 100_200_20_tau_0.9
2025-03-03 18:50:33,787 - INFO - Number of biomarkers: 10
2025-03-03 18:51:04,919 - INFO - Iteration 500/5000, Acceptance Ratio 1: 2.60%, Log Likelihood 1: -823.0454, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 1, 'PCC-FCI': 8}, Acceptance Ratio 2: 0.20%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:51:36,482 - INFO - Iteration 1000/5000, Acceptance Ratio 1: 1.40%, Log Likelihood 1: -737.8276, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 8, 'PCC-FCI': 1}, Acceptance Ratio 2: 0.10%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:52:07,484 - INFO - Iteration 1500/5000, Acceptance Ratio 1: 0.93%, Log Likelihood 1: -737.8276, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 8, 'PCC-FCI': 1}, Acceptance Ratio 2: 0.07%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:52:38,252 - INFO - Iteration 2000/5000, Acceptance Ratio 1: 0.70%, Log Likelihood 1: -737.8276, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 8, 'PCC-FCI': 1}, Acceptance Ratio 2: 0.05%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:53:09,036 - INFO - Iteration 2500/5000, Acceptance Ratio 1: 0.56%, Log Likelihood 1: -737.8276, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 8, 'PCC-FCI': 1}, Acceptance Ratio 2: 0.04%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:53:40,117 - INFO - Iteration 3000/5000, Acceptance Ratio 1: 0.47%, Log Likelihood 1: -737.8276, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 8, 'PCC-FCI': 1}, Acceptance Ratio 2: 0.03%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:54:11,316 - INFO - Iteration 3500/5000, Acceptance Ratio 1: 0.40%, Log Likelihood 1: -737.8276, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 8, 'PCC-FCI': 1}, Acceptance Ratio 2: 0.03%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:54:42,233 - INFO - Iteration 4000/5000, Acceptance Ratio 1: 0.35%, Log Likelihood 1: -737.8276, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 8, 'PCC-FCI': 1}, Acceptance Ratio 2: 0.03%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:55:13,615 - INFO - Iteration 4500/5000, Acceptance Ratio 1: 0.31%, Log Likelihood 1: -737.8276, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 8, 'PCC-FCI': 1}, Acceptance Ratio 2: 0.02%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:55:44,681 - INFO - Iteration 5000/5000, Acceptance Ratio 1: 0.28%, Log Likelihood 1: -737.8276, Current Accepted Order1: {'AB': 7, 'ADAS': 10, 'AVLT-Sum': 9, 'FUS-FCI': 6, 'FUS-GMI': 2, 'HIP-FCI': 4, 'HIP-GMI': 5, 'MMSE': 3, 'P-Tau': 8, 'PCC-FCI': 1}, Acceptance Ratio 2: 0.02%, Log Likelihood 2: -1692.4966, Current Accepted Order2: {'AB': 3, 'ADAS': 7, 'AVLT-Sum': 8, 'FUS-FCI': 10, 'FUS-GMI': 9, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 5, 'P-Tau': 1, 'PCC-FCI': 4}
2025-03-03 18:55:45,811 - INFO - Results saved to conjugate_priors/results/100_200_20_tau_0.9_results.json
