2025-03-17 17:22:58,211 - INFO - Running conjugate priors for file: 100_200_21_tau_-0.5
2025-03-17 17:22:58,212 - INFO - Number of biomarkers: 10
2025-03-17 17:23:04,908 - INFO - Iteration 100/1000, Acceptance Ratio 1: 28.00%, Log Likelihood 1: -2192.8084, Current Accepted Order1: {'AB': 1, 'ADAS': 3, 'AVLT-Sum': 4, 'FUS-FCI': 5, 'FUS-GMI': 7, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 10.00%, Log Likelihood 2: -2503.8248, Current Accepted Order2: {'AB': 7, 'ADAS': 9, 'AVLT-Sum': 10, 'FUS-FCI': 8, 'FUS-GMI': 3, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.93, 
2025-03-17 17:23:11,375 - INFO - Iteration 200/1000, Acceptance Ratio 1: 14.00%, Log Likelihood 1: -2331.5943, Current Accepted Order1: {'AB': 1, 'ADAS': 3, 'AVLT-Sum': 4, 'FUS-FCI': 5, 'FUS-GMI': 7, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 8.50%, Log Likelihood 2: -2333.5867, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 7, 'FUS-FCI': 9, 'FUS-GMI': 2, 'HIP-FCI': 6, 'HIP-GMI': 4, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 3}, Subtype Accuracy: 0.95, 
2025-03-17 17:23:18,008 - INFO - Iteration 300/1000, Acceptance Ratio 1: 9.67%, Log Likelihood 1: -2153.4967, Current Accepted Order1: {'AB': 1, 'ADAS': 3, 'AVLT-Sum': 4, 'FUS-FCI': 5, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 6.00%, Log Likelihood 2: -2503.4295, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 7, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 6, 'HIP-GMI': 4, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 2}, Subtype Accuracy: 0.925, 
2025-03-17 17:23:24,602 - INFO - Iteration 400/1000, Acceptance Ratio 1: 7.50%, Log Likelihood 1: -2244.8473, Current Accepted Order1: {'AB': 1, 'ADAS': 3, 'AVLT-Sum': 4, 'FUS-FCI': 5, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 8, 'P-Tau': 10, 'PCC-FCI': 9}, Acceptance Ratio 2: 5.50%, Log Likelihood 2: -2402.1997, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.905, 
2025-03-17 17:23:31,096 - INFO - Iteration 500/1000, Acceptance Ratio 1: 6.20%, Log Likelihood 1: -2229.1748, Current Accepted Order1: {'AB': 1, 'ADAS': 3, 'AVLT-Sum': 4, 'FUS-FCI': 5, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 4.60%, Log Likelihood 2: -2419.2746, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 4, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 3}, Subtype Accuracy: 0.96, 
2025-03-17 17:23:37,558 - INFO - Iteration 600/1000, Acceptance Ratio 1: 5.50%, Log Likelihood 1: -2402.8050, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 5, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 4.67%, Log Likelihood 2: -2246.7155, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 4, 'HIP-FCI': 7, 'HIP-GMI': 3, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 2}, Subtype Accuracy: 0.935, 
2025-03-17 17:23:44,008 - INFO - Iteration 700/1000, Acceptance Ratio 1: 5.29%, Log Likelihood 1: -2249.3321, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 3, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 4.29%, Log Likelihood 2: -2396.3539, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 2, 'HIP-FCI': 7, 'HIP-GMI': 4, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 3}, Subtype Accuracy: 0.925, 
2025-03-17 17:23:50,520 - INFO - Iteration 800/1000, Acceptance Ratio 1: 4.88%, Log Likelihood 1: -2211.0208, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 10, 'PCC-FCI': 9}, Acceptance Ratio 2: 4.25%, Log Likelihood 2: -2425.1366, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.95, 
2025-03-17 17:23:57,048 - INFO - Iteration 900/1000, Acceptance Ratio 1: 4.44%, Log Likelihood 1: -2265.2575, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 4.33%, Log Likelihood 2: -2370.7584, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 4, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 3}, Subtype Accuracy: 0.94, 
2025-03-17 17:24:03,601 - INFO - Iteration 1000/1000, Acceptance Ratio 1: 4.00%, Log Likelihood 1: -2217.0800, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 4.40%, Log Likelihood 2: -2419.3900, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 2, 'HIP-FCI': 7, 'HIP-GMI': 4, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 3}, Subtype Accuracy: 0.93, 
2025-03-17 17:24:04,559 - INFO - Results saved to conjugate_priors/results/100_200_21_tau_-0.5_results.json
